小区名;小区地址;建筑年代;建筑类型;物业费用;物业公司;开发商;楼栋总数;房屋总数;附近门店
万寿路乙14号;(海淀公主坟)万寿路乙14号;1990年建成;板楼;暂无信息;暂无信息;暂无信息;2栋;7户;万寿路店/海淀区万寿路乙十四号楼
西二旗大街39号;(海淀西二旗)西二旗大街39号;2011年建成;未知类型;暂无信息;暂无信息;暂无信息;1栋;4户;领秀新硅谷店/海淀区西二旗西路2号院85号楼1层单元09
中关村保福寺82号;(海淀中关村)中关村保福寺82号;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;1户;东南小区一店/海淀区中关村新科祥园7号楼1至2层
金领时代;(海淀安宁庄)小营西路金领时代大厦;2003年建成;塔楼;2.3元/平米/月;北京东居物业管理有限公司;北京市安达房地产开发公司;1栋;306户;橡树湾中心店/海淀学府树家园3号楼3-1底墒
御香山;(海淀西山)御香山;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;1户;暂无门店信息
北京瑞海大厦;(海淀公主坟)莲花池东路53号;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;450户;北蜂窝一店/北蜂窝路63号院底商
万柳书院;(海淀万柳)巴沟路华联购物中心西侧;2015年建成;板楼;12.5元/平米/月;中赫物业;中赫置地投资控股有限公司;14栋;311户;碧水云天颐园店/海淀区万柳中路星标家园一号楼底商102
万树园;(海淀马连洼)厢黄旗万树园;2001年建成;板楼;暂无信息;北京万霖时代物业管理有限责任公司;北京万霖房地产开发有限责任公司;28栋;1627户;七彩华园店/海淀区厢黄旗七彩华园16楼1层3单元0102
唐家岭新城;(海淀海淀北部新区)唐家岭新城;2011年建成;塔板结合;暂无信息;暂无信息;暂无信息;21栋;4249户;暂无门店信息
常青园一区;(海淀四季青)常青园一区;2003年建成;塔楼/塔板结合;暂无信息;北京博安物业管理有限责任公司;北京永泰房地产开发有限责任公司;12栋;1896户;郦城店/海淀区四季青路8号骊城工作区一层0136号
海澜中苑;(海淀田村)海澜中苑;1998年建成;板楼;暂无信息;暂无信息;暂无信息;15栋;684户;熙湖店/海淀区畅茜园圣华里6号楼1层108
西山美墅馆G区;(海淀西山)溪山嘉园山仕轩;2006年建成;未知类型;暂无信息;北京西山诚信物业管理中心;北京三九建业房地产开发有限公司;4栋;16户;西山商业广场店/海淀区杏石口路西山商业大厦C座西三号
丹青府圣华园;(海淀田村)畅茜园;2006年建成;塔板结合;暂无信息;北京中赛物业管理有限公司;北京龙鼎华源房地产开发有限公司;5栋;778户;熙湖店/海淀区畅茜园圣华里6号楼1层108
福溪家园;(海淀海淀北部新区)福溪家园;2000年建成;板楼;暂无信息;暂无信息;暂无信息;17栋;913户;尚峰尚水店/海淀区温泉镇正源尚峰尚水小区尚水园4号楼115号底商链家地产
六郎庄新村;(海淀马连洼)六郎庄;暂无信息;塔板结合;暂无信息;暂无信息;暂无信息;26栋;4164户;博雅西园店/海淀区农大南路博雅西院1号楼5门
怡丽北园;(海淀世纪城)蓝靛厂怡丽北园;2002年建成;板楼;暂无信息;暂无信息;暂无信息;5栋;379户;火器营店/海淀区蓝靛厂观山园5号楼
种子公司宿舍;(海淀北太平庄)北太平庄15号;1997年建成;板楼/塔板结合;暂无信息;暂无信息;暂无信息;2栋;122户;月华轩店/海淀北太平庄路2号院临街门脸房（共三间）
西三环北路74号院;(海淀甘家口)西三环北路74号院;2003年建成;塔板结合;暂无信息;暂无信息;暂无信息;4栋;408户;花园桥地铁店/西三环北路97号
倒座庙1号院;(海淀苏州桥)苏州街;2003年建成;塔楼;暂无信息;暂无信息;暂无信息;2栋;344户;万泉河路店/海淀区苏州街75号院22幢平方1号
中昊家园;(海淀田村)阜石路甲19号院;2009年建成;板楼/塔板结合;暂无信息;暂无信息;暂无信息;13栋;1124户;乐府江南店/海淀区永定路乙1号院2号楼一单元105及103部分商业
海副楼;(海淀魏公村)魏公村海副楼;1981年建成;板楼;暂无信息;暂无信息;暂无信息;3栋;136户;韦伯豪家园店/海淀区韦伯豪家园6号楼对面链家地产
颐北家苑;(海淀马连洼)颐北家苑;2004年建成;板楼;暂无信息;暂无信息;暂无信息;17栋;1194户;天秀花园店/海淀区天秀花园安和园22号楼11号底墒
雪芳里;(海淀田村)雪芳里;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;2栋;341户;景宜里店/海淀中国房子1号楼1-104
常青园北里;(海淀西山)常青园北里;2009年建成;塔楼/塔板结合;暂无信息;暂无信息;暂无信息;10栋;2311户;郦城店/海淀区四季青路8号骊城工作区一层0136号
万寿路8号院;(海淀万寿路)万寿路8号院;2000年建成;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;4栋;536户;万寿路店/海淀区万寿路乙十四号楼
上林溪南区;(海淀安宁庄)安宁庄东路（八达岭高速西三旗出口出向西第一个红绿灯向南即到）;暂无信息;板楼;2元/平米/月;鼎春德物业管理公司;北京上地房地产开发有限责任公司;24栋;0户;上林溪店/海淀区安宁庄西路安宁华庭3区5号楼底商
北师大院内;(海淀小西天)新外大街19号院;1980年建成;塔楼/板楼;暂无信息;暂无信息;暂无信息;46栋;2770户;北师大店/西城区新街口外大街6-10
上地南路14号院;(海淀上地)上地南路14号院;2003年建成;板楼;暂无信息;北京方诚物业管理有限责任公司;暂无信息;1栋;105户;上地南路店/海淀上地南路10号院1号楼1层12-9
颐东苑;(海淀颐和园)颐东苑;2000年建成;板楼;暂无信息;暂无信息;暂无信息;15栋;697户;暂无门店信息
阜成路北三街11号院;(海淀甘家口)阜成路北三街11号院;1990年建成;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;9栋;739户;中海馥园一店/海淀增光路37号院中海馥园3号楼1层106
燕东园;(海淀五道口)燕东园;1980年建成;板楼;暂无信息;暂无信息;暂无信息;17栋;946户;暂无门店信息
北京理工大学家属区;(海淀魏公村)中关村南大街5号院;1980年建成;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;40栋;3094户;民族大学店/海淀区魏公村小区17号楼1层1门1号
赏竹阁;(海淀甘家口)三里河路5号赏竹阁;2000年建成;塔板结合;暂无信息;暂无信息;暂无信息;2栋;360户;国兴家园店/海淀区首体南路2号东区7栋
北太平庄路3号;(海淀北太平庄)北太平庄路3号;暂无信息;板楼;暂无信息;暂无信息;暂无信息;1栋;141户;月华轩店/海淀北太平庄路2号院临街门脸房（共三间）
大慧寺19号院;(海淀白石桥)大慧寺路19号;1980年建成;板楼;暂无信息;暂无信息;暂无信息;13栋;391户;韦伯豪家园店/海淀区韦伯豪家园6号楼对面链家地产
颐和山庄芳辉园;(海淀海淀北部新区)芳辉园;1998年建成;板楼;暂无信息;暂无信息;暂无信息;28栋;902户;暂无门店信息
清华大学校内;(海淀五道口)清华大学;1980年建成;塔楼/板楼/塔板结合;暂无信息;北京清华同方物业管理有限公司;暂无信息;87栋;4945户;华清嘉园新店/海淀区五道口华清嘉园5号楼2号底商
信悦华庭;(海淀军博)羊坊店基建新楼;2010年建成;板楼/塔板结合;暂无信息;暂无信息;电信局;4栋;1430户;北蜂窝一店/北蜂窝路63号院底商
图景家园;(海淀海淀北部新区)图景家园;2011年建成;塔板结合;暂无信息;暂无信息;暂无信息;11栋;1877户;暂无门店信息
海淀嘉郡;(海淀海淀北部新区)上庄镇上庄路与沙阳路交汇处向北700米处;暂无信息;板楼;暂无信息;暂无信息;北京三元嘉业房地产开发有限公司;16栋;65户;暂无门店信息
花园路5号院;(海淀北太平庄)花园路5号院;1956年建成;板楼;暂无信息;暂无信息;暂无信息;16栋;902户;塔院南门店/海淀北土城西路185号
北太平路18号院;(海淀玉泉路)北太平路18号院;暂无信息;塔楼/板楼;暂无信息;暂无信息;暂无信息;9栋;1065户;永定路五一店/海淀区永定路西里2号楼底商
翠湖别墅C区;(海淀海淀北部新区)翠湖路8号院;2004年建成;未知类型;5至8元/平米/月;香港戴德梁行物业管理公司;北京升达房地产发展有限公司;12栋;12户;暂无门店信息
学院南路15号院;(海淀皂君庙)学院南路15号院;2000年建成;塔楼/板楼/塔板结合;暂无信息;光大物业;北京中顺超科房地产开发有限公司;4栋;367户;学院派物美店/海淀区学院南路15号院10号楼1层103
第四干休所;(海淀二里庄)魏家村甲1号院;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;4户;志新店/海淀区二里庄三十四号楼六门103号
学清苑;(海淀学院路)学清苑;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;10栋;1220户;城华园店/海淀区城华园2号楼106号
北京城建世华龙樾;(海淀清河)京藏高速小营桥东700米，地铁8号线西小口站（西南口）;2015年建成;板楼;6元/平米/月;北京城承物业管理有限公司北洼路管;北京城建兴华地产有限公司;10栋;586户;莱圳店/海淀区莱圳家园17号楼
荷清苑;(海淀五道口)荷清苑;1999年建成;板楼;暂无信息;暂无信息;暂无信息;14栋;842户;暂无门店信息
畅春园;(海淀圆明园)北大畅春园;1995年建成;板楼;暂无信息;暂无信息;暂无信息;15栋;1042户;暂无门店信息
厂洼街2号院;(海淀厂洼)厂洼街2号院;1990年建成;板楼;暂无信息;暂无信息;暂无信息;7栋;258户;厂洼街一店/海淀厂洼街7号院1号楼1层底商
溪山嘉园;(海淀西山)溪山嘉园;2004年建成;板楼;暂无信息;暂无信息;暂无信息;47栋;1702户;西山商业广场店/海淀区杏石口路西山商业大厦C座西三号
永定路19号院;(海淀五棵松)永定路19号院;1995年建成;板楼;暂无信息;暂无信息;北京城建开发有限公司;1栋;66户;玉海园七店/海淀区采石路玉海园5里20号楼一层10号门
柳浪家园;(海淀马连洼)柳浪家园;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;112户;博雅西园店/海淀区农大南路博雅西院1号楼5门
阜成路26号院;(海淀定慧寺)阜成路26号院;1980年建成;板楼;暂无信息;暂无信息;暂无信息;8栋;377户;翠微西里店/海淀区翠微东里小吃店1屋西2
北外西院;(海淀厂洼)西三环北路19号院;1980年建成;塔楼/板楼;暂无信息;暂无信息;暂无信息;17栋;1453户;厂洼街一店/海淀厂洼街7号院1号楼1层底商
北医三院宿舍;(海淀牡丹园)学院路38号院;1985年建成;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;26栋;2613户;暂无门店信息
交大宜园;(海淀西直门)交大宜园;1980年建成;板楼;暂无信息;暂无信息;暂无信息;12栋;834户;财经大学店/海淀区大柳树路2号
金和嘉园;(海淀五棵松)金和嘉园;2009年建成;塔板结合;暂无信息;暂无信息;暂无信息;6栋;969户;长安街店/海淀区复兴路丙65号(西翠路12号3-101)
温泉人家;(海淀海淀北部新区)温泉人家;2000年建成;板楼;暂无信息;暂无信息;暂无信息;8栋;481户;尚峰尚水店/海淀区温泉镇正源尚峰尚水小区尚水园4号楼115号底商链家地产
西三环中路3号院;(海淀定慧寺)西三环中路3号院;2000年建成;塔楼/板楼;暂无信息;暂无信息;暂无信息;3栋;376户;翠微西里店/海淀区翠微东里小吃店1屋西2
戛纳35号院;(海淀牡丹园)戛纳35号院;2011年建成;塔板结合;暂无信息;暂无信息;暂无信息;2栋;464户;北航店/海淀区花园路1-43号
中国铁建环保嘉苑;(海淀海淀北部新区)中关村环保科技园内（齐物潭公园旁）;暂无信息;塔楼/板楼;暂无信息;北京铁建物业管理有限公司;中国铁建房地产集团有限公司;14栋;754户;暂无门店信息
花园路12号院;(海淀北太平庄)花园路12号院;1982年建成;板楼/塔板结合;暂无信息;暂无信息;暂无信息;5栋;141户;月华轩店/海淀北太平庄路2号院临街门脸房（共三间）
北极寺干休所;(海淀牡丹园)花园东路8号院;暂无信息;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;46栋;2927户;花园北路店/海淀区花园北路36号底墒
温泉镇西颐小区;(海淀海淀北部新区)温泉镇西颐小区;暂无信息;板楼;暂无信息;暂无信息;暂无信息;5栋;288户;暂无门店信息
蔚秀园;(海淀圆明园)北大蔚秀园;1982年建成;板楼;暂无信息;北京畅春物业管理有限公司;暂无信息;16栋;855户;暂无门店信息
小南庄西1号院;(海淀苏州桥)小南庄西1号院;1985年建成;板楼;暂无信息;暂无信息;暂无信息;7栋;228户;紫金庄园一店/北京市海淀区万泉河路68号紫金庄园七号楼底商
小营西路23号院;(海淀安宁庄)小营西路23号院;2000年建成;塔楼;暂无信息;暂无信息;暂无信息;2栋;306户;小营西路店/海淀区阳光北里小区
新外大街25号院;(海淀小西天)新外大街甲25号院;1997年建成;板楼;1.5元/平米/月;单位自管物业;北京中影房地产开发有限公司;1栋;96户;新街口店/海淀区新街口外大街二十五号-16
万寿路15号院;(海淀万寿路)万寿路15号院;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;60户;翠微中里店/海淀翠微东里11号楼3单元312号
西三环北路25号院;(海淀厂洼)西三环北路25号院;2000年建成;板楼;暂无信息;暂无信息;暂无信息;6栋;417户;美林花园店/海淀区西郊北洼路二6号楼6单元1层622
万寿路甲15号七区;(海淀万寿路)万寿路甲15号院七区;1999年建成;板楼;暂无信息;暂无信息;暂无信息;1栋;36户;万寿路店/海淀区万寿路乙十四号楼
万寿路5号院;(海淀公主坟)万寿路5号;1993年建成;塔楼;暂无信息;暂无信息;暂无信息;4栋;368户;万寿路店/海淀区万寿路乙十四号楼
皂君庙88号;(海淀皂君庙)皂君庙88号;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;20户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
四道口路5号院;(海淀皂君庙)四道口路5号院;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;0栋;0户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
阜成路51号院;(海淀定慧寺)阜成路51号院;1995年建成;板楼;暂无信息;暂无信息;暂无信息;4栋;230户;玲珑路店/北京市海淀区北洼路29号院底商
厂洼甲5号院;(海淀厂洼)厂洼甲5号院;1991年建成;板楼;暂无信息;北京青东物业管理中心;暂无信息;2栋;168户;厂洼街一店/海淀厂洼街7号院1号楼1层底商
上庄家园南区;(海淀海淀北部新区)上庄家园南区;暂无信息;板楼;暂无信息;暂无信息;暂无信息;6栋;276户;暂无门店信息
天秀花园久盛居;(海淀马连洼)天秀花园久盛居;2000年建成;板楼;暂无信息;暂无信息;暂无信息;2栋;120户;天秀花园店/海淀区天秀花园安和园22号楼11号底墒
朱各庄10号院;(海淀万寿路)朱各庄10号院;1988年建成;塔板结合;暂无信息;暂无信息;暂无信息;1栋;144户;阜成路一店/海淀区八宝庄小区40号楼一层7号
紫竹院南路15号院;(海淀紫竹桥)紫竹院南路15号院;暂无信息;板楼;暂无信息;暂无信息;暂无信息;1栋;90户;主语城店/海淀区首体南路9号主语家园17号楼1－103
皂君庙15号院;(海淀皂君庙)皂君庙15号院;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;6栋;6户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
志新村2号院;(海淀牡丹园)志新村2号院;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;56户;北航店/海淀区花园路1-43号
花园北路35号院;(海淀牡丹园)花园北路35号;1988年建成;板楼/塔板结合;暂无信息;暂无信息;暂无信息;12栋;1451户;花园北路店/海淀区花园北路36号底墒
花园东路3号院;(海淀牡丹园)花园东路3号院;1998年建成;塔楼;暂无信息;暂无信息;暂无信息;1栋;179户;金尚嘉园店/海淀区花园甲2号院2号楼1层2101
花园路1号院;(海淀牡丹园)花园路1号院;1980年建成;塔楼/板楼;暂无信息;暂无信息;暂无信息;15栋;764户;北航店/海淀区花园路1-43号
友谊嘉园二期;(海淀海淀北部新区)友谊路友谊嘉园;暂无信息;板楼;暂无信息;暂无信息;暂无信息;8栋;2088户;暂无门店信息
交大静园;(海淀西直门)北京交通大学静园;1980年建成;板楼;暂无信息;暂无信息;暂无信息;12栋;1106户;交通大学店/海淀区交通大学路1号院5号楼底商
农科院家属楼;(海淀马连洼)农科院家属楼;1996年建成;板楼;暂无信息;暂无信息;暂无信息;15栋;1084户;肖家河店/天秀花园荷塘月舍1号楼004B
双清路85号院;(海淀五道口)双清路85号院;1986年建成;板楼;暂无信息;无物业管理服务;北京城建四公司;1栋;48户;清华东路店/海淀东王庄小区11号楼底商南侧第二间
太平路36号院;(海淀五棵松)太平路36号;1988年建成;板楼/塔板结合;暂无信息;北京新兴兴业物业管理有限公司;北京市新兴房地产开发总公司;6栋;832户;永定路一店/海淀区永定路西里二号楼首层
颐和山庄亮甲园;(海淀海淀北部新区)亮甲园;1998年建成;板楼;暂无信息;暂无信息;暂无信息;18栋;984户;百旺茉莉园一店/海淀区茉莉园37号楼1层110
万寿寺甲2号院;(海淀魏公村)海淀西三环北路法华路寺南侧;1998年建成;板楼/塔板结合;暂无信息;暂无信息;暂无信息;17栋;917户;民族大学店/海淀区魏公村小区17号楼1层1门1号
复兴路20号;(海淀公主坟)复兴路20号;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;20户;万寿路店/海淀区万寿路乙十四号楼
复兴路83号院;(海淀玉泉路)复兴路83号院;暂无信息;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;15栋;999户;十一店/海淀区复兴路46号院3号楼
花园路10号院;(海淀北太平庄)花园路10号院;1988年建成;板楼;暂无信息;暂无信息;暂无信息;2栋;126户;月华轩店/海淀北太平庄路2号院临街门脸房（共三间）
花园路甲1号;(海淀牡丹园)花园路甲1号;1988年建成;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;7栋;511户;金尚嘉园店/海淀区花园甲2号院2号楼1层2101
花园路乙69号;(海淀北太平庄)花园路乙69号;暂无信息;板楼;暂无信息;暂无信息;暂无信息;1栋;18户;月华轩店/海淀北太平庄路2号院临街门脸房（共三间）
首创悦榕汇;(海淀海淀北部新区)北部新区的永丰产业基地内;2017年建成;板楼;暂无信息;暂无信息;首创置业股份有限公司;1栋;1户;暂无门店信息
成府路35号院;(海淀五道口)成府路35号院;1990年建成;板楼;暂无信息;北京新兴兴业物业管理有限公司;北京城建集团;3栋;180户;华清嘉园新店/海淀区五道口华清嘉园5号楼2号底商
大慧寺5号院;(海淀白石桥)大慧寺5号院;暂无信息;板楼;暂无信息;暂无信息;暂无信息;8栋;507户;大慧寺店/海淀大慧寺路5号（粮店）
岭南路36号院;(海淀定慧寺)岭南路36号;1993年建成;板楼;暂无信息;暂无信息;暂无信息;1栋;36户;玲珑路店/北京市海淀区北洼路29号院底商
魏公村甲1号;(海淀魏公村)魏公村甲1号;1979年建成;板楼;暂无信息;无物业管理服务;无开发公司;1栋;45户;韦伯豪家园店/海淀区韦伯豪家园6号楼对面链家地产
文慧园北路六号院;(海淀新街口)文慧园北路六号院;1999年建成;板楼;暂无信息;暂无信息;暂无信息;1栋;84户;文慧园二店/海淀区文慧园路10号2幢平房
武警22号院;(海淀世纪城)远大路22号;2002年建成;塔楼/塔板结合;暂无信息;北京世纪颐和物业管理有限责任公司;北京金源鸿大房地产开发有限公司;13栋;1742户;世纪金源店/海淀区世纪城远大园四甲2号楼底商
万寿路28号院;(海淀公主坟)万寿路28号院;2000年建成;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;26栋;2530户;暂无门店信息
万寿路西街16号院;(海淀万寿路)万寿路西街16号院;1985年建成;板楼;暂无信息;暂无信息;暂无信息;3栋;270户;长安街店/海淀区复兴路丙65号(西翠路12号3-101)
颐和山庄紫霄园;(海淀海淀北部新区)紫霄园;1998年建成;板楼;暂无信息;暂无信息;暂无信息;49栋;981户;暂无门店信息
中关园;(海淀五道口)中关园;1980年建成;板楼/塔板结合;暂无信息;暂无信息;暂无信息;32栋;1746户;中关村一小店/海淀中关村南二街十区平房
紫竹院南路23号院;(海淀紫竹桥)紫竹院南路23号院;1990年建成;板楼;暂无信息;暂无信息;暂无信息;4栋;228户;主语城店/海淀区首体南路9号主语家园17号楼1－103
丰泽盈和;(海淀马连洼)圆明园西路1号;1996年建成;板楼;暂无信息;暂无信息;暂无信息;20栋;1555户;肖家河店/天秀花园荷塘月舍1号楼004B
三义庙南里;(海淀魏公村)北三环西路64号;2010年建成;板楼;暂无信息;暂无信息;暂无信息;1栋;126户;北理工店/海淀区中关村南大街5号
合景映月台;(海淀清河)安宁庄西路与小营西路交汇处西南侧, 安宁庄西路与小营西路36号院项目;2016年建成;板楼;10.8至13.99元/平米/月;宁骏物业管理有限公司;北京富愉房地产开发有限公司;2栋;90户;美和园店/海淀区美和园西区6号楼1层105
花园北路36号院;(海淀牡丹园)花园北路36号院;2007年建成;板楼;暂无信息;暂无信息;暂无信息;2栋;80户;花园北路店/海淀区花园北路36号底墒
花园路15号院;(海淀北太平庄)花园路15号院;暂无信息;板楼/塔板结合;暂无信息;暂无信息;暂无信息;6栋;216户;月华轩店/海淀北太平庄路2号院临街门脸房（共三间）
北三环中路甲69号院;(海淀北太平庄)北三环中路甲69号;2006年建成;板楼;暂无信息;暂无信息;暂无信息;6栋;318户;北师大店/西城区新街口外大街6-10
承泽园;(海淀圆明园)北大承泽园;1986年建成;板楼;暂无信息;暂无信息;暂无信息;20栋;384户;暂无门店信息
首体南路1号院;(海淀紫竹桥)首体南路1号院;2009年建成;板楼/塔板结合;暂无信息;暂无信息;暂无信息;10栋;879户;国兴家园店/海淀区首体南路2号东区7栋
泰欣苑;(海淀清河)宝盛里泰欣苑;2000年建成;板楼/塔板结合;暂无信息;暂无信息;暂无信息;9栋;474户;观澳园店/海淀区观澳园1号楼底商107
增光路55号;(海淀甘家口)增光路55号;1997年建成;塔楼;暂无信息;暂无信息;暂无信息;2栋;208户;花园桥地铁店/西三环北路97号
大柳树11号院;(海淀白石桥)大柳树11号院;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;0栋;0户;皂君东里店/海淀学院南路皂君东里13号楼底商
华北北楼;(海淀小西天)华北北楼;1989年建成;板楼;0.5元/平米/月;中建物业管理公司;中建国际;1栋;42户;今典花园店/海淀区文慧园北路24号南侧第一间第二间第三间第四间
友谊嘉园一期;(海淀海淀北部新区)友谊路友谊嘉园;暂无信息;板楼;暂无信息;暂无信息;暂无信息;8栋;1080户;暂无门店信息
北洼路43号院;(海淀定慧寺)北洼路43号;1992年建成;板楼;暂无信息;暂无信息;暂无信息;2栋;84户;玲珑路店/北京市海淀区北洼路29号院底商
翠湖别墅A区;(海淀海淀北部新区)上庄南口;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;1户;暂无门店信息
交大东路4号院;(海淀西直门)交大东路4号院;1998年建成;塔板结合;暂无信息;暂无信息;暂无信息;2栋;440户;天兆家园东门店/海淀区明光村16楼南侧
晾果厂1号院;(海淀军博)玉渊潭南路;1995年建成;板楼;暂无信息;暂无信息;暂无信息;4栋;250户;北蜂窝铁道部店/海淀区北蜂窝路5号院底商4-2
人民大学静园;(海淀苏州桥)静园;2000年建成;塔楼/板楼;暂无信息;暂无信息;暂无信息;19栋;1215户;豪景佳苑店/海淀区知春路108号1号楼1层
羊坊2号院;(海淀军博)羊坊2号院;1988年建成;板楼;暂无信息;暂无信息;暂无信息;2栋;81户;北蜂窝一店/北蜂窝路63号院底商
高梁桥斜街11号院;(海淀白石桥)高梁桥斜街11号院;1980年建成;板楼;暂无信息;暂无信息;暂无信息;2栋;37户;皂君东里店/海淀学院南路皂君东里13号楼底商
太平路46号院;(海淀五棵松)太平路46号院;1990年建成;板楼;暂无信息;暂无信息;暂无信息;5栋;214户;新青塔店/丰台区青塔西路12号
学院南路甲82号;(海淀白石桥)学院南路甲82号;2009年建成;板楼;暂无信息;暂无信息;暂无信息;5栋;206户;韦伯豪家园店/海淀区韦伯豪家园6号楼对面链家地产
四道口路1号院;(海淀皂君庙)四道口路1号院;暂无信息;板楼;暂无信息;暂无信息;暂无信息;2栋;15户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
凯胜家园;(海淀海淀北部新区)温泉镇凯胜家园;暂无信息;塔楼/板楼;暂无信息;暂无信息;暂无信息;21栋;1710户;北辰香麓店/海淀区显龙山路19号1幢1层2座121号
复兴路甲63号院;(海淀万寿路)复兴路甲63号院;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;4栋;128户;育英中学店/海淀区复兴路61号
北京语言大学校内;(海淀五道口)北京语言大学;1989年建成;板楼;0.6元/平米/月;北京北航科技园物业管理有限责任公司;无开发商;20栋;1374户;六道口城铁店/海淀区富润家园1号楼底商
今佳园;(海淀安宁庄)今佳园;2007年建成;板楼/塔板结合;暂无信息;北京今佳物业管理中心;暂无信息;5栋;852户;怡美店/海淀区安宁庄西路15号5号楼3单元102
京香花园;(海淀西山)香山南路京香花园;2000年建成;未知类型;暂无信息;暂无信息;暂无信息;213栋;216户;暂无门店信息
绿苑;(海淀马连洼)绿苑;1998年建成;板楼;暂无信息;暂无信息;暂无信息;12栋;866户;亿城西山华府店/海淀区马连洼竹园32号楼1层102
门头新村;(海淀西山)门头新村;暂无信息;板楼;暂无信息;暂无信息;暂无信息;7栋;228户;自在香山店/海淀区瀚河园
田村小区;(海淀田村)田村小区;2001年建成;板楼;暂无信息;暂无信息;暂无信息;8栋;516户;畅茜园一店/海淀区畅茜园景宜里底商12号楼5号商铺
太平路38号院;(海淀五棵松)太平路38号;1988年建成;板楼;暂无信息;暂无信息;暂无信息;5栋;296户;永定路一店/海淀区永定路西里二号楼首层
万寿路20号院;(海淀公主坟)万寿路20号院;1999年建成;板楼;暂无信息;暂无信息;暂无信息;3栋;97户;万寿路店/海淀区万寿路乙十四号楼
万寿路3号院;(海淀公主坟)万寿路3号院;2001年建成;板楼;暂无信息;暂无信息;暂无信息;3栋;240户;翠微店/海淀区翠微南里2号楼1层临7号
新华社宿舍;(海淀公主坟)新华社宿舍;1985年建成;塔楼/板楼;暂无信息;暂无信息;暂无信息;4栋;362户;北蜂窝铁道部店/海淀区北蜂窝路5号院底商4-2
颐和山庄云锦园;(海淀海淀北部新区)云锦园;1998年建成;板楼;暂无信息;暂无信息;暂无信息;22栋;45户;暂无门店信息
影视之家;(海淀五棵松)西四环中路49号;1997年建成;板楼;暂无信息;暂无信息;暂无信息;2栋;108户;五棵松胜利店/海淀区西四环中路19号院（五棵松饭店楼下）
万寿寺甲3号院;(海淀魏公村)西三环北路南侧;暂无信息;板楼/塔板结合;暂无信息;暂无信息;暂无信息;3栋;209户;人济山庄一店/海淀紫竹院路甲2号商业05号
红联北村24号院;(海淀小西天)红联北村24号院;暂无信息;平房;暂无信息;暂无信息;暂无信息;1栋;1户;枫蓝国际店/海淀索家坟2号29号楼8门一层底商
厂洼乙5号院;(海淀厂洼)厂洼乙5号院;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;1栋;490户;厂洼街一店/海淀厂洼街7号院1号楼1层底商
水岸温泉;(海淀海淀北部新区)温泉镇水岸温泉;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;24栋;4347户;暂无门店信息
润中苑;(海淀西二旗)润中苑;暂无信息;板楼;暂无信息;暂无信息;暂无信息;1栋;135户;西二旗城铁店/海淀西二旗智学苑14号楼105
广泰小区;(海淀马连洼)北京市海淀区马连洼农大南路广泰小区;暂无信息;未知类型;暂无信息;暂无信息;暂无信息;2栋;148户;七彩华园店/海淀区厢黄旗七彩华园16楼1层3单元0102
大柳树甲17号院平房;(海淀白石桥)大柳树甲17号院;暂无信息;平房;暂无信息;暂无信息;北京城建集团;4栋;13户;皂君东里店/海淀学院南路皂君东里13号楼底商
交大东路16号院;(海淀西直门)交大东路16号院;暂无信息;塔板结合;暂无信息;暂无信息;暂无信息;3栋;100户;学院派物美店/海淀区学院南路15号院10号楼1层103
清华东路甲7号院;(海淀学院路)清华东路甲7号院;1995年建成;塔楼;暂无信息;暂无信息;无开发商;1栋;144户;双泉堡店/朝阳区德胜门外北沙滩2号如家宾馆主楼西侧
